category,name,url,price,image,color,screen type,rear camera,front camera,chipset,ram,internal memory (rom)
samsung,samsung galaxy note 20 ultra 5g 256gb đồng,https://pico.vn/41529/dien-thoai-di-dong-samsung-smn986bds-256gb-dong--galaxy-note-20-ultra-5g.html,32990000,https://cdn.pico.vn/product/41529/359656_sm-n985986galaxynote20ultrafrontpenmysticbronze200605.jpg,android 10,"dynamic amoled 2x, 6.9"", quad hd+ (2k+)","chính 108 mp & phụ 12 mp, 12 mp, cảm biến laser af,",10mp,exynos 990 8 nhân 64-bit,12gb,"256 gb, hỗ trợ thẻ nhớ microsd 1tb"
samsung,samsung galaxy note 20 ultra 256gb trắng,https://pico.vn/41528/dien-thoai-di-dong-samsung-smn985fds-256gb-trang--galaxy-note-20-ultra.html,27490000,https://cdn.pico.vn/product/41528/359675_sm-n985986galaxynote20ultrafrontpenmysticwhite200529.jpg,android 10,"dynamic amoled 2x, 6.9"", quad hd+ (2k+)","108mp + 12mp + 12mp, công nghệ cảm biến laser af
quay phim 8k",10mp,exynos 990 8 nhân 64-bit,8 gb,"256 gb, hỗ trợ thẻ nhớ microsd 1tb"
samsung,samsung galaxy note 20 ultra 256gb đồng,https://pico.vn/41527/dien-thoai-di-dong-samsung-smn985fds-256gb-dong--galaxy-note-20-ultra.html,27490000,https://cdn.pico.vn/product/41527/359643_sm-n985986galaxynote20ultrafrontpenmysticbronze200605.jpg,android 10,"dynamic amoled 2x, 6.9"", quad hd+ (2k+)","108mp + 12mp + 12mp, công nghệ cảm biến laser af
quay phim 8k",10mp,exynos 990 8 nhân 64-bit,8 gb,"256 gb, hỗ trợ thẻ nhớ microsd 1tb"
samsung,samsung galaxy note 20 ultra 256gb đen,https://pico.vn/41526/dien-thoai-di-dong-samsung-smn985fds-256gb-den--galaxy-note-20-ultra.html,27490000,https://cdn.pico.vn/product/41526/359626_sm-n985986galaxynote20ultrafrontpenmysticblack200529.jpg,android 10,"dynamic amoled 2x, 6.9"", quad hd+ (2k+)","108mp + 12mp + 12mp, công nghệ cảm biến laser af
quay phim 8k",10mp,exynos 990 8 nhân 64-bit,8 gb,"256 gb, hỗ trợ thẻ nhớ microsd 1tb"
samsung,samsung galaxy a51 128gb bạc,https://pico.vn/41502/dien-thoai-di-dong-samsung-a515fdsn-128gb-bac--galaxy-a51.html,6990000,https://cdn.pico.vn/product/41502/359149_untitled-1.jpg,android 9.0 (pie),super amoled,"chính 48 mp & phụ 12 mp, 5 mp, 5 mp",32 mp,nan,6 gb,128 gb
vivo,điện thoại vivo y11 (3+32gb) xanh ngọc trai,https://pico.vn/41249/dien-thoai-di-dong-vivo-1906-y11-332gb-xanh-ngoc-trai.html,2790000,https://cdn.pico.vn/product/41249/355786_vivo-y11-xanh-da-troi-nhat-1-org.jpg,android 9.0 (pie),ips lcd hd+,camera sau: chính 13 mp & phụ 2 m.,camera trước: 8 mp,qualcomm 439,ram 3gb,32gb
vivo,điện thoại vivo y30( 4+128gb) xanh dương,https://pico.vn/41248/dien-thoai-di-dong-vivo-1938y30-4128gb-xanh-duong.html,3290000,https://cdn.pico.vn/product/41248/355773_untitled-1.jpg,android 10,ips lcd hd+,"camera sau: chính 13 mp & phụ 8mp,2 mp,2mp.",camera trước: 8 mp,mediatek helio p35,ram 4 gb,128gb
vivo,điện thoại vivo y30( 4+128gb) trắng,https://pico.vn/41247/dien-thoai-di-dong-vivo-1938y30-4128gb-trang.html,3290000,https://cdn.pico.vn/product/41247/355766_untitled-1.jpg,android 10,ips lcd hd+,"camera sau: chính 13 mp & phụ 8mp,2 mp,2mp.",camera trước: 8 mp,mediatek helio p35,ram 4 gb,128gb
samsung,đtdđ samsung galaxy a21s 32gb đen,https://pico.vn/41242/dtdd-samsung-sma217fds-32gb-dengalaxy-a21s.html,3890000,https://cdn.pico.vn/product/41242/355873_untitled-1.jpg,android 10,tft,"chính 48 mp & phụ 8 mp, 2 mp, 2 mp",độ phân giải : 13.0 mp,nan,3 gb,32 gb
samsung,đtdđ samsung galaxy a21s 32gb xanh,https://pico.vn/41241/dtdd-samsung-sma217fds-32gb-xanhgalaxy-a21s.html,3890000,https://cdn.pico.vn/product/41241/355861_untitled-1.jpg,android 10,tft,"chính 48 mp & phụ 8 mp, 2 mp, 2 mp",độ phân giải : 13.0 mp,nan,3 gb,32 gb
vivo,điện thoại vivo v19( 8+128gb) đen thiên thạch (gleam black),https://pico.vn/41180/dien-thoai-di-dong-vivo-1933v19-8128gb-den-thien-thach-gleam-black.html,5990000,https://cdn.pico.vn/product/41180/355010_untitled-1.jpg,funtouch os 10 (dựa trên nền tảng android 10),super amoled,camera sau: 48mp+8mp+2mp+2mp,camera trước: 32mp+8mp,sdm 712,ram 8gb,128 gb
